date,sp500_close,sp500_return,sp500_log_return,sp500_cumulative_return,sp500_drawdown,vix_close,delta_vix,abs_delta_vix,vix_zscore,vix_move_regime,vix_shock_flag,risk_off_day,sp500_forward_return_1d,vix_forward_change_1d,sp500_forward_return_3d,vix_forward_change_3d,sp500_forward_return_5d,vix_forward_change_5d,sp500_forward_return_10d,vix_forward_change_10d,sp500_realized_vol_5d_ann,sp500_realized_vol_10d_ann,sp500_realized_vol_21d_ann
2025-05-27,5921.54,0.0204590182014952,,0.020459018201495205,0.0,18.96,-1.6099999999999994,1.6099999999999994,0.16105686716958992,High,False,False,-0.005571185873944895,0.34999999999999787,0.008320470688368387,-1.3500000000000014,0.01331072660152599,-2.1900000000000013,0.018841382478206548,0.14999999999999858,,,
2025-05-28,5888.55,-0.0055711858739448,-0.0055867628115837675,0.014773851334351384,-0.005571185873944895,19.31,0.3499999999999978,0.3499999999999978,0.26257927974918,Low,False,True,0.003929660103081378,-0.7399999999999984,0.008618420494009627,-0.8299999999999983,0.0199251088977761,-2.1499999999999986,0.015992052372825194,2.2900000000000027,,,
2025-05-30,5911.69,-8.118846379590039e-05,0.003921959156960142,0.014691463404261196,-0.0016634186377193494,18.57,-0.6099999999999994,0.6099999999999994,0.04793189315233157,Medium,False,False,0.010000524384736087,-0.9600000000000009,0.014999095013439545,-1.8000000000000007,0.02150315730357999,-1.620000000000001,0.0117022374312592,1.5700000000000003,,,
2025-06-04,5970.81,7.369727504324963e-05,0.00995085004584162,0.014766243400123669,0.0,17.61,-0.0800000000000018,0.0800000000000018,-0.23052958135168883,Low,False,False,-0.005277340930292529,0.870000000000001,0.005873574942093285,-0.4499999999999993,0.008613571692952737,-0.34999999999999787,-0.0004974199480473063,3.0100000000000016,,,
2025-06-05,5939.3,-0.0052773409302925,-0.005291315280564035,0.009410975969148971,-0.005277340930292529,18.48,0.870000000000001,0.870000000000001,0.021826129917579717,Medium,False,True,0.010280672806559643,-1.7100000000000009,0.01675449968851561,-1.5300000000000011,0.017840486252588716,-0.46000000000000085,0.014457932753018099,1.3499999999999979,0.17005524695717728,,
2025-06-06,6000.36,0.0102806728065596,0.01022818611570031,0.019788399940437795,0.0,16.77,-1.7100000000000009,1.7100000000000009,-0.4741833715427064,High,False,False,0.0009199448033119229,0.39000000000000057,0.003646447879793957,0.490000000000002,0.005458005852982062,2.34,0.015302415188422236,0.7100000000000009,0.10180947373017792,,
2025-06-09,6005.88,0.0009199448033119,0.0009195219134294774,0.020726548979440818,0.0,17.16,0.3900000000000005,0.3900000000000005,-0.36105839752544805,Low,False,False,0.005482960032501483,-0.21000000000000085,0.006556907563920689,0.8599999999999994,-0.0038562209035145623,4.440000000000001,0.014365921397030856,-0.3999999999999986,0.08958961678758294,,
2025-06-10,6038.81,0.0054829600325014,0.0054679833266551015,0.026323151851608273,0.0,16.95,-0.2100000000000008,0.2100000000000008,-0.42197184507320273,Low,False,False,-0.002743918089822439,0.3100000000000023,-0.0009438945752557881,2.16,-0.009594605559704705,3.1900000000000013,0.016925520094190682,-0.35999999999999943,0.09327518397919776,,
2025-06-11,6022.24,-0.0027439180898224,-0.002747689533666886,0.023507005189238983,-0.002743918089822439,17.26,0.3100000000000023,0.3100000000000023,-0.3320519939312789,Low,False,True,0.0038224979409655635,0.759999999999998,-0.006562342251388076,4.34,-0.009033183665878464,3.3599999999999994,0.02504549802067002,-0.9400000000000013,0.09944515846003246,,
2025-06-12,6045.26,0.0038224979409655,0.0038152107599636054,0.02741935860913869,0.0,18.02,0.759999999999998,0.759999999999998,-0.11160332661559685,Medium,False,False,-0.002009839113619738,1.0899999999999999,-0.010651320207898496,2.120000000000001,-0.003323264838898554,1.8099999999999987,0.02526773042019692,-1.1900000000000013,0.07762419751439714,0.12536826764432044,
2025-06-16,6033.11,0.0093927190532994,-0.0020118615505531068,0.037069619994475334,-0.002009839113619738,19.11,-1.7100000000000009,1.7100000000000009,0.20456647256084265,High,False,False,-0.008352242873078675,2.490000000000002,-0.010818632512916149,1.5100000000000016,0.009790970162984136,-1.629999999999999,0.040814770491504504,-2.7300000000000004,0.07288679071345289,0.08843307519880603,
2025-06-17,5982.72,-0.0083522428730786,-0.008387318295762114,0.028407762651990076,-0.010345295322285564,21.6,2.490000000000002,2.490000000000002,0.9268259220556455,High,False,True,-0.00030922389816012696,-1.4600000000000009,0.007095434852374849,-1.7700000000000031,0.018292682926829285,-4.84,0.04132902759948642,-3.8100000000000023,0.11186416364577727,0.0955866187698107,
2025-06-18,5980.87,-0.0003092238981601,-0.0003092717177288762,0.02808975439472472,-0.010651320207898496,20.14,-1.4600000000000009,1.4600000000000009,0.5033324295807813,High,False,False,-0.002178612810510794,0.4800000000000004,0.01861100475348909,-2.66,0.026777040798412255,-3.5500000000000007,0.04090542011446496,-3.330000000000002,0.10636045552973873,0.09568913772558252,
2025-06-20,5967.84,-0.0021786128105107,-0.0021809894398643337,0.025849944885445675,-0.012806727915755545,20.62,-1.5500000000000007,1.5500000000000007,0.6425631668327915,High,False,False,0.009606490790637912,-0.7900000000000027,0.020831657685192573,-3.8599999999999994,0.03438932679160289,-4.300000000000001,0.04950199737258365,-4.6800000000000015,0.10539177123610133,0.09717291681459797,
2025-06-23,6025.17,0.0096064907906379,0.009560641855696161,0.03570476293356406,-0.003323264838898554,19.83,-0.7900000000000027,0.7900000000000027,0.4134125784388574,Medium,False,False,0.011121677894565751,-2.349999999999998,0.019227673244074595,-3.2399999999999984,0.028686327522708943,-3.0,0.03893334129991355,-3.4299999999999997,0.12342250942423574,0.09852152862071464,
2025-06-24,6092.18,0.0111216778945657,0.011060286796933383,0.047223537700778806,0.0,17.48,-2.349999999999998,2.349999999999998,-0.2682379060241079,High,False,False,-3.282897091061443e-06,-0.7199999999999989,0.013277677284650125,-1.1600000000000001,0.030722992426356344,-1.1000000000000014,0.028951869445748457,-0.28000000000000114,0.13066934537832625,0.10043115631611922,
2025-06-25,6092.16,-3.282897091061443e-06,-3.2829024796399153e-06,0.04722009977367314,-3.282897091061443e-06,16.76,-0.7199999999999989,0.7199999999999989,-0.4770840119021227,Medium,False,False,0.008020143922681022,-0.1700000000000017,0.017374789893896514,0.06999999999999673,0.02262251812165128,1.0299999999999976,0.02488444164302983,0.6199999999999974,0.09859474493596938,0.10098860129030011,
2025-06-26,6141.02,0.008020143922681,0.00798815349977744,0.05561895569258235,0.0,16.59,-0.1700000000000017,0.1700000000000017,-0.5263948980122101,Low,False,False,0.005219002706390752,-0.2699999999999996,0.022525573927458353,-0.21000000000000085,0.013759929132294069,0.21999999999999886,0.01997713734851847,0.5700000000000003,0.09521084518809844,0.10379220485545329,
2025-06-27,6173.07,0.0052190027063907,0.005205430912106124,0.061128233879259364,0.0,16.32,-0.2699999999999996,0.2699999999999996,-0.6047121877164656,Low,False,False,0.0040401291415779195,0.509999999999998,0.009219075759711037,1.4699999999999989,0.014610234453845683,-0.3800000000000008,0.020041891635766307,0.08999999999999986,0.06957037866834354,0.09940706490502153,
2025-07-01,6198.01,-0.0011184618731818,0.004031989735306496,0.05994140240710877,0.0,16.83,0.0999999999999978,0.0999999999999978,-0.45677952938620553,Low,False,True,0.013123567080401743,-0.4499999999999993,0.004438521396383788,-0.019999999999999574,0.009961261759822815,-0.4299999999999997,0.018007392695397417,-0.3299999999999983,0.08267419432482077,0.10219978030585072,
2025-07-03,6279.35,0.008338926875014,0.013038199150630092,0.06878017625358157,0.0,16.38,-0.2600000000000015,0.2600000000000015,-0.5873083455599647,Low,False,False,-0.00786227873904155,1.4100000000000001,-0.0025623671239858314,-0.4399999999999995,-0.0017183307189437835,0.8200000000000003,0.012670101204742545,-1.0099999999999998,0.07039457836984588,0.10051756491157193,0.1101506446237092
2025-07-07,6229.98,-0.0078622787390415,-0.007893349417233964,0.06037712859711397,-0.00786227873904155,17.79,0.3099999999999987,0.3099999999999987,-0.17831805488218513,Low,False,True,-0.0007158931489344988,-0.9800000000000004,0.004778506512059577,-1.3900000000000006,0.002211885110385614,-0.41000000000000014,0.02140777337969002,-2.3999999999999986,0.11010382422477887,0.09898183031820974,0.09714571643966566
2025-07-08,6225.52,-0.0007158931489344,-0.0007161495228000803,0.05961801187546456,-0.008572543336491822,16.81,-0.9800000000000004,0.9800000000000004,-0.46258081010503915,Medium,False,False,0.0060621442064277,-0.8699999999999992,0.006913478713424626,0.39000000000000057,0.006132821033423719,0.3500000000000014,0.026201827317236193,-1.879999999999999,0.09957146861014675,0.09939231872656229,0.09387529767337735
